100 5
4 9 41
3 6 49
3 3 51
4 6 39
2 7 54
2 5 52
4 6 40
4 3 40
4 1 41
4 9 33
4 11 36
2 7 53
3 9 50
4 1 37
4 10 41
2 11 45
2 9 54
3 4 43
4 8 31
2 11 51
2 1 49
2 4 48
2 6 47
4 3 40
2 3 48
4 9 39
2 10 48
4 4 32
4 5 35
4 7 38
2 7 53
2 8 48
2 2 43
2 8 44
2 5 46
4 9 37
2 4 52
2 5 49
2 6 44
4 9 30
2 11 49
2 9 48
2 2 51
4 8 36
2 7 54
4 7 37
4 4 38
4 1 32
4 2 36
2 5 48
4 3 40
4 8 35
2 5 54
4 7 41
2 10 51
4 8 38
4 11 37
2 5 47
2 1 43
4 8 33
2 10 54
4 6 42
4 6 34
4 3 34
4 7 37
2 11 48
2 10 52
4 4 38
4 3 30
2 10 50
4 2 33
4 4 35
2 8 53
4 2 39
2 1 52
4 5 39
4 4 36
2 9 49
2 6 48
4 1 40
2 2 47
4 11 35
2 11 49
4 2 32
2 2 48
4 11 35
4 10 35
4 8 39
4 2 33
3 10 37
3 3 33
2 4 54
2 6 47
3 3 30
3 1 37
2 1 48
1 7 53
1 1 52
3 5 39
3 10 35
51 42 41 54 40 
